bpc,allocation,read_bounds,confmat,bw,ber,cer,is_pba
2,"((0, 3), (37, 38), (52, 54), (60, 61))","[0, 22, 42, 55, 64]","[[1450    2    0    0]
 [   2 1404    2    0]
 [   0    1 1402    5]
 [   0    0    7 1401]]",261437.66577756812,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 7), (37, 38), (52, 54), (60, 61))","[0, 21, 42, 55, 64]","[[1448    4    0    0]
 [   0 1406    2    0]
 [   0    1 1402    5]
 [   0    0    7 1401]]",261437.66577756812,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (30, 31), (52, 53), (60, 62))","[0, 17, 40, 54, 64]","[[1447    5    0    0]
 [   8 1400    0    0]
 [   0    1 1402    5]
 [   0    0    0 1408]]",261083.59243246418,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 10), (31, 32), (46, 47), (58, 63))","[0, 17, 37, 51, 64]","[[1450    2    0    0]
 [   5 1399    4    0]
 [   0    3 1405    0]
 [   0    0    5 1403]]",260365.43536213302,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 2), (40, 41), (53, 54), (60, 61))","[0, 25, 45, 55, 64]","[[1452    0    0    0]
 [   0 1404    4    0]
 [   0    3 1400    5]
 [   0    0    7 1401]]",260321.03333398813,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 3), (40, 41), (53, 54), (60, 61))","[0, 26, 45, 55, 64]","[[1452    0    0    0]
 [   0 1404    4    0]
 [   0    3 1400    5]
 [   0    0    7 1401]]",260321.03333398813,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (40, 41), (53, 54), (60, 61))","[0, 26, 45, 55, 64]","[[1452    0    0    0]
 [   0 1404    4    0]
 [   0    3 1400    5]
 [   0    0    7 1401]]",260321.03333398813,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 5), (40, 41), (53, 54), (60, 61))","[0, 26, 45, 55, 64]","[[1452    0    0    0]
 [   0 1404    4    0]
 [   0    3 1400    5]
 [   0    0    7 1401]]",260321.03333398813,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (40, 41), (53, 54), (60, 61))","[0, 25, 45, 55, 64]","[[1452    0    0    0]
 [   0 1404    4    0]
 [   0    3 1400    5]
 [   0    0    7 1401]]",260321.03333398813,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 7), (40, 41), (53, 54), (60, 61))","[0, 25, 45, 55, 64]","[[1452    0    0    0]
 [   0 1404    4    0]
 [   0    3 1400    5]
 [   0    0    7 1401]]",260321.03333398813,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (38, 39), (52, 54), (60, 61))","[0, 24, 44, 55, 64]","[[1450    2    0    0]
 [   0 1408    0    0]
 [   0    5 1398    5]
 [   0    0    7 1401]]",260240.26016632825,0.0016737138830162086,0.0033474277660323626,False
